"station","sample_time","air_temperature_c","air_pressure_m","sea_level_pressure_m"
"F3311",2020-05-06 20:00:00,7.78,9.98823810712639,10.3524404358267
"F3311",2020-05-06 20:30:00,6.67,9.98628331114611,10.3504856398464
"F3311",2020-05-06 21:00:00,5.56,9.98433769261175,10.3485400213121
"F3311",2020-05-06 21:30:00,4.44,9.98587440494471,10.350076733645
"F3311",2020-05-06 22:00:00,3.89,9.98663409352338,10.3508364222237
"F3311",2020-05-06 22:30:00,3.89,9.98663307380717,10.3508354025075
"F3311",2020-05-06 23:00:00,3.33,9.99086795523966,10.35507028394
"F3311",2020-05-06 23:30:00,2.22,9.98895904648897,10.3531613751893
"F3311",2020-05-07 00:00:00,2.22,9.98895904648897,10.3531613751893
"F3311",2020-05-07 00:30:00,1.67,9.98972995194598,10.3539322806463
"F3311",2020-05-07 01:00:00,1.67,9.9931888293404,10.3573911580407
"F3311",2020-05-07 01:30:00,0.56,9.99129725576533,10.3554995844656
"F3311",2020-05-07 02:00:00,0,9.99209263441145,10.3562949631118
"F3311",2020-05-07 02:30:00,-0.56,9.99289209192242,10.3570944206227
"F3311",2020-05-07 03:00:00,0.56,9.99475613315975,10.3589584618601
"F3311",2020-05-07 03:30:00,-0.56,9.99289209192242,10.3570944206227
"F3311",2020-05-07 04:00:00,-0.56,9.98943219481179,10.3536345235121
"F3311",2020-05-07 04:30:00,0.56,9.99129827548154,10.3555006041819
"F3311",2020-05-07 05:00:00,0.56,9.99129725576533,10.3554995844656
"F3311",2020-05-07 05:30:00,0.56,9.99475613315975,10.3589584618601
"F3311",2020-05-07 06:00:00,0.56,9.99821399083796,10.3624163195383
"F3311",2020-05-07 06:30:00,0.56,9.99821399083796,10.3624163195383
"F3311",2020-05-07 07:00:00,0.56,10.0051317456268,10.3693340743271
"F3311",2020-05-07 07:30:00,0.56,10.0051317456268,10.3693340743271
"F3311",2020-05-07 08:00:00,0.56,10.0085916427374,10.3727939714377
"F3311",2020-05-07 08:30:00,1.11,10.0147303343396,10.3789326630399
"F3311",2020-05-07 09:00:00,1.11,10.0147313540558,10.3789336827561
"F3311",2020-05-07 09:30:00,1.67,10.0139400542745,10.3781423829748
"F3311",2020-05-07 10:00:00,2.22,10.0131681291013,10.3773704578016
"F3311",2020-05-07 10:30:00,2.22,10.0097102714231,10.3739126001234
"F3311",2020-05-07 11:00:00,2.22,10.0097102714231,10.3739126001234
"F3311",2020-05-07 11:30:00,2.22,10.0062524137449,10.3704547424452
"F3311",2020-05-07 12:01:00,2.78,10.0054692716933,10.3696716003936
"F3311",2020-05-07 13:30:00,3.89,10.0073802198764,10.3715825485767
"F3311",2020-05-07 14:00:00,4.44,10.0031636933358,10.3673660220361
"F3311",2020-05-07 14:30:00,5,9.99893594991674,10.3631382786171
"F3311",2020-05-07 15:00:00,5,9.99893594991674,10.3631382786171
"F3311",2020-05-07 15:30:00,5.56,9.99125442768438,10.3554567563847
"F3311",2020-05-07 16:00:00,6.11,9.99050391655163,10.3547062452519
"F3311",2020-05-07 16:30:00,6.67,9.98628840972718,10.3504907384275
"F3311",2020-05-07 17:00:00,6.11,9.98359228006007,10.3477946087604
"F3311",2020-05-07 17:30:00,6.67,9.98283157176518,10.3470339004655
"F3311",2020-05-07 18:00:00,6.11,9.98359126034385,10.3477935890442
"F3311",2020-05-07 18:30:00,5,9.98510757835255,10.3493099070529
"F3311",2020-05-07 19:00:00,3.33,9.99432581291787,10.3585281416182
"F3311",2020-05-07 19:30:00,1.11,10.0043537021563,10.3685560308566
"F3311",2020-05-07 20:00:00,0.56,10.0085916427374,10.3727939714377
